;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Vulpes.lagopus10;0.901534125;0.92839702;0.941413315;0.962552651;0.90686561;0.921988724;0.919719455;0.954989419;0.902393904;0;0.889573349;0.933237328;0.931684959;37
Felis.silvestris10;0.802505338;0.859416052;0.865026687;0.873447746;0.942806987;0.837659091;0.825663537;0.920688379;0.832097802;0.889573349;0;0.906538721;0.857026545;37
Homo_neand10;0.947296768;0.970020728;0.949510732;0.952967489;0.969266936;0.969130827;0.958777134;0.957503382;0.967785442;0.933237328;0.906538721;0;0.972459418;37
Homo.sapiens10;0.968911981;0.98682712;0.961184893;0.968317784;0.935434154;0.98267999;0.988715227;0.931345191;0.986909606;0.931684959;0.857026545;0.972459418;0;37
Ursus.spelaeus11;0;0.970371192;0.961885463;0.95665279;0.890746206;0.976110961;0.983639429;0.910846556;0.975989781;0.895876387;0.81194112;0.948061691;0.968080071;38
Ursus.arctos11;0.970371192;0;0.959336862;0.962242569;0.936558274;0.985173937;0.988490011;0.939290338;0.988794801;0.924460168;0.868575888;0.971549495;0.987533765;38
Panthera.spelaea11;0.961885463;0.959336862;0;0.980287551;0.898895086;0.956167029;0.967741996;0.941777413;0.949066055;0.935796321;0.869937197;0.948950497;0.960606344;38
Panthera.leo11;0.95665279;0.962242569;0.980287551;0;0.916737545;0.960038302;0.968758699;0.950738295;0.948899076;0.958880611;0.877614835;0.950850604;0.966652037;38
Panthera.pardus11;0.890746206;0.936558274;0.898895086;0.916737545;0;0.92721734;0.909133853;0.939783322;0.927581788;0.905586499;0.945105762;0.969623914;0.938116554;38
Crocuta.crocuta11;0.976110961;0.985173937;0.956167029;0.960038302;0.92721734;0;0.984836291;0.926056185;0.9831318;0.918094482;0.848033752;0.970886868;0.982772912;38
Canis.lupus11;0.983639429;0.988490011;0.967741996;0.968758699;0.909133853;0.984836291;0;0.923452768;0.990435321;0.915196612;0.834533649;0.96044305;0.988747388;38
Meles.meles11;0.910846556;0.939290338;0.941777413;0.950738295;0.939783322;0.926056185;0.923452768;0;0.91829556;0.954451522;0.920866165;0.955198646;0.933211151;38
Vulpes.vulpes11;0.975989781;0.988794801;0.949066055;0.948899076;0.927581788;0.9831318;0.990435321;0.91829556;0;0.897941381;0.840296515;0.969636005;0.98688371;38
Vulpes.lagopus11;0.895876387;0.924460168;0.935796321;0.958880611;0.905586499;0.918094482;0.915196612;0.954451522;0.897941381;0;0.892595596;0.929568402;0.928429199;38
